country,gdp,prct_close_relat,prct_rpt_crime,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,life_expect,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,prct_low_savings,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy,median_income,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad,prct_rpt_pollution,total_pop,prct_yng_adt_pop,legal_trust_rating,police_trust_rating,political_trust_rating,med_income_underemp,unemp_rate,avg_hrs_worked,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,avg_gdp
Austria,356237.6,95.8,12.4,42.2,47.6,10.2,35.3,41.4,23.3,81.8,37.9,49.3,12.9,22.6,4.3,8.5,26.1,29.7,21.4,9.9,23071,31.9,38.3,21.6,6.4,1.7,10.7,8401940,18.67754352,6,7.2,4.4,8.1,6,36.5,44.6,54.2,37.4,39.3,42.39944584
Belgium,424660.3,92.2,13.4,23,68.5,8.5,21.5,60.6,17.9,81.5,20.9,69.9,9.2,25.9,9.3,12.2,17.2,25.8,29,6.4,21335,29.8,43.9,17,7.2,2,13.2,11000638,18.48514604,5,6.1,4.6,14.6,7.8,37,48.8,55.5,42,33.1,38.60324283
Bulgaria,48128.6,95.3,25,16.1,36.1,47.7,14.6,33.9,51.5,74.9,5.9,29.8,64.2,54.2,28.9,32.8,28.5,7.3,2.1,0.3,6742,19.1,46.7,23.2,8.7,2.3,15.1,7364570,18.43257651,3,3.6,2.6,11.9,7.6,40.8,49.4,59.3,43.4,24.7,6.535154123
Croatia,46639.5,94.5,3,25.6,49,25.4,24.5,42.1,33.4,78.2,15,49.5,35.4,57.7,20.4,31,36.3,9.1,2.8,0.4,8985,25.5,33.8,22.1,14.8,3.8,7,4284889,18.55126235,3.3,6.106451613,2.8,13,13.1,39.4,55.1,62.3,48,41.1,10.88464602
Cyprus,18490.2,97,9.8,28.2,51.8,20,24,48,28.1,82.7,14.2,48.8,37,56.6,29.4,30.4,25.2,10.5,3.8,0.7,16173,44.1,34.6,16.8,3.8,0.7,9.2,840407,23.3226282,3.6,4.7,2.6,10.6,13,39.2,66.1,75.1,57.5,15.4,22.00148261
Czech Rep.,176370.1,98.1,11.7,29.6,51.4,19,24.3,44.1,31.5,79.1,21.3,53.3,25.4,32.1,7.1,16.1,35.7,30.3,9.4,1.5,12478,18.6,41.8,27.9,9.7,2,13.5,10436560,18.86248917,3.8,4.9,3.7,6.7,4,40.3,44.5,51.4,37.3,27.4,16.89925608
Denmark,282089.9,95.5,8.4,44.4,46.4,9.2,41.4,40.9,17.7,80.9,42.7,46.6,10.6,24.5,3.2,6.8,16.9,30.7,26.2,16.1,21355,26.5,44.8,21.1,5.4,2.2,6.8,5560628,18.08200441,7.5,7.9,5.9,10.7,6.2,32.9,46,51.4,41.6,23.9,50.72986361
Estonia,21682.6,92.8,9.2,26.6,55.1,18.4,22.2,44.9,33,78,13.5,52.1,34.4,31.6,4.9,10.5,42.1,29.4,11.3,1.9,11867,9.3,43.6,32.7,12.5,1.9,9.9,1294455,19.68836306,5.2,6,4.4,5.8,6.8,38.4,41.9,48.4,35.9,25.6,16.75036985
Finland,216073,98.1,6.5,40.8,54.6,4.7,35.9,51.6,12.5,81.5,38.6,55.5,6,29.4,2.3,4.6,17.6,32.8,25.8,16.9,19997,20.2,50.1,23.8,5,0.9,7.2,5375276,18.71395999,7.2,8.2,6,11.4,8.8,36.7,36.6,43.9,31.3,21.9,40.19756381
France,2228568,93.1,14.8,20,64.7,15.4,23.3,51.4,25.2,82.7,16.1,64.8,19.1,31.8,4.2,15,39.8,26.8,12.2,1.9,20621,21.9,44.5,25.5,7.1,1,14.1,64933400,18.52750049,4.5,5.6,3,8.4,10.1,37.3,52.3,60.5,45.6,30.7,34.32082719
Germany,3159750,96.7,14.1,25,50.7,24.3,24.2,42.5,33.3,81,25,55.8,19.2,30,2.3,4.6,9.6,39.4,32.2,12,21152,18,47.2,26.5,6.9,1.4,23.2,80219695,17.10558984,5.3,6.4,4.9,9.6,4.1,35.1,46.6,54,40.5,29.4,39.38870623
Greece,176487.9,96.2,11.8,14,48.3,37.7,11.6,52.2,36.2,81.5,12.8,51.8,35.5,53.6,40.6,36.2,17,4.4,1.5,0.3,9048,45,29,15.6,7.5,2.8,19.6,10816286,17.60441616,4.1,5,2,17.2,23.6,42.3,62.5,70.1,53.9,25.3,16.31686699
Hungary,113903.8,97.2,9.7,23,55.7,21.3,15.4,49.4,35.2,76.2,11.3,50.2,38.5,50.8,17.1,25.7,38.1,15.6,3.1,0.4,8267,17.6,42,27.1,10.4,2.8,12.8,9937628,18.3451222,5.1,5.7,4.5,8.2,5.1,39.7,50.3,58.3,42.7,22.7,11.46186998
Iceland,18646.1,96.4,2.2,42.3,48,9.6,35,43,22,82.2,38.1,52.4,9.5,30.9,6.2,7.9,20.9,34.9,15.7,14.3,22193,38.3,37.7,17.4,5,1.5,7.9,315556,21.59331466,5.7,7.7,3.7,4.3,3,39.3,38.5,43.1,34.2,38.1,59.0896703
Ireland,273238.2,96.2,9.9,28.3,51.7,20,29.1,42.3,28.6,81.8,30.6,52.7,16.7,45.3,12,15.4,36.7,25.4,7.7,2.7,18286,41.7,41.1,13.7,2.8,0.8,4.6,4574888,20.60133494,5.1,6.9,3.2,18.2,8.4,35.9,49.4,55.2,44,40.8,59.72565886
Italy,1689824,86.8,14.7,20.2,62.2,17.6,13.8,58.2,28,83.4,14.2,63,22.7,40.4,10.9,22.4,41.4,20.5,4.4,0.3,16237,10.5,60.4,21.4,6.4,1.3,15.1,59433744,15.47497327,3.6,5.8,2.1,12.8,11.7,37,56.3,63.8,49.1,30.4,28.43206378
Latvia,25037.7,91.8,10,25.8,56.9,17.3,21.4,57.8,20.8,74.9,12.6,56.6,30.8,60,12.4,26.9,38.7,16.5,4.6,0.9,9257,5.1,42.1,37.2,12.6,3,17.2,2070371,20.44285783,4.5,5.4,3.6,7.2,9.6,38.7,42.9,48.8,38.2,23.2,12.09333979
Lithuania,38849.4,96.8,3.4,29.6,55.4,15,22,52.4,25.6,74.9,18.8,53.3,27.9,53.2,6.9,22.7,50.4,16.3,3.4,0.3,9364,6.6,36.8,39.6,14.2,2.7,15.6,3043429,20.52678081,4.9,6,4.5,10.2,7.9,38.5,43.4,49.6,36.9,26.3,12.76500947
Luxembourg,53303,87.1,12.2,30.4,55.1,14.5,30,47.5,22.5,82.7,25.7,59.5,14.8,21.9,4.2,8.2,16.7,32.4,29.9,8.6,28663,23.4,45.8,21.2,7.8,1.8,16.1,512353,18.94065225,5.3,6.1,5,6.6,6.3,37.5,46.7,54.6,41.2,32.4,104.0356941
